review,rating
"One of the toughest films I've ever tried to review. I liked it a lot, but can't recommend it.",8
Messiness 3:16,6
"Anxiety: The Movie. The way it's shot, how the dialog is written, the characters and their choices, all odd and nonsensical at first, but all there for a reason. All there to help write a poem that wants to tell you something. Some things. Everything. Mother! is an astonishing yet nerve-racking allegorical picture that won't leave your mind.",8
"Insane, beautiful, terrorizing, epic, puzzling, intoxicating, gross, masterful. (Spoilers)",10
"My god, mother is one hell of a film.",10
"Liked the idea and message ... But it was just over the top. For my tastes the first half of the movie was great, a solid 9 stars. I felt the helplessness of Mother and it carried the message well enough. The second half was just overwhelming and too much. I would have loved the movie if they kept it more subtle. Michelle Pfeiffer was fabulous!",6
"Religious allegories abound but really it's just pretentious nonsense Now I'm not one to disparage the director, I liked Requiem for a Dream and loved Black Swan, but this is a stinker and just simply boring. It's all just packed full of cod biblical allegories spread thickly throughout which tries to twist between different types of horror genres, but leaved me unintrigued. Granted the settings, claustrophobic direction and acting are top notch but it shouldn't mask for what otherwise is a poor uninteresting movie. It unsettles and bores, way too much to care, and as the ending dragged on I was left increasingly frustrated as it refused to just shut up shop. It's totally split opinion from what I've seen so far, and you'll struggle to find anyone in the middle on this one. In fairness, some credit to the film studios for risking this effort in launching it into mainstream cinemas but without the director it would have rightfully languished on cable late night showings.",3
"Aronofsky's mother! will be hated by many, but loved by a precious few 100 Horrifying. Just.. horrifying. Aronofsky really got me with this one. Not only did he manage to grab me on an intellectual level, but also on an emotional one. This movie is going to be hated by many, I know that now. But for me, this is, hands down, the movie of the year. Every shot, cut, and scream is perfectly constructed to make an immersive atmosphere that never relents in it's uncomfortable feeling, and the acting is seriously award worthy. Javier Bardem is absolutely wonderful, and Jennifer Lawrence... oh man... her performance is absolutely top notch. At first I couldn't quite relate to her character, but as the film progressed, her mindset became my mindset, and we essentially merged into one force of fear and terror that was absolutely unstoppable until the ending. I cannot praise her performance enough in this review. Her emotions leaked from every frame she was in, and it broke my heart and scared me witless the whole way through the film. Aronofsky's pacing is immaculate as well, the whole movie feeling not a second too",10
"Thick on analogies and symbolism, to the point of overkill",6
WTF!,1
"Art's Not Safe Went to the first matin?e available locally and I am still thinking the picture over. Will definitely see this one again, if it hasn't left the theatre abruptly. I was certainly horrified by the film, which is a good thing, as I had assumed it was a horror picture. It is, of course, much more than that. Nonetheless, it is NOT The Conjuring or Get Out (both good films, for sure), so just be warned. By now you are aware that the film has been controversial, also a good thing. Jennifer Lawrence does a fine job and her career is certainly not going to suffer for her performance. I am not exactly a JLaw ""fan"" (could live without the Hunger Games), although I will pay closer attention to her future performances, especially if she pulls off more roles like this one (really liked Winter's Bone, by the way). As I understand the Hollywood scene, it is a respectable personal decision to take on a challenging role in an avant garde picture, especially if you have already banked serious money from popular roles in blockbusters. Javier Bardem, Michelle Pfeiffer, and Ed Harris also do their",8
??????? WHAT THE HELL DID I JUST WATCH?????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!,6
From Eden to Armageddon in 2 Hours,1
"Trigger Warning ""You never loved me. You only loved how I loved you."" ---mother (Jennifer Lawrence) to Him (Javier Bardem) Directed by Darren Aronofsky (""Black Swan"" and ""Requiem for a Dream"") ""mother!"" is possibly the darkest, most disturbing movie I have ever seen. It is absolutely one of the most affecting. Reviews have been mixed, to put it nicely. But I think the theme of ""mother!"" terrifies some people so much that they choose to be perplexed by it rather than allow themselves to even think about what Aronofsky is suggesting. My take on the film is that it is about God, humans, and our respective relationships with creation and the creative process.",10
Terrorizing!,7
a film that fails on multiple levels,1
Moab (Mother of all Box-Office Bombs),9
Story of Life from a Religious Perspective,7
Wretched The so-called religious symbolism is so heavy-handed it's as though it were written by someone with no imagination or appreciation for the language of the source material. From the opening scenes with the grotesque Bardem coarsely abusing the divine Warren to the flat phony sycophantic behavior of Ed Harris (first time I have ever disliked his performance) and on & on the film plays like a bad high school film class product. I don't know what Aronofsky's problem is but his films sure seem filled with enormous amounts,1
"Mother Nature, and how we are killing ourselves.",10
WTF did I just watch,7
"If there is a movie theater in hell, this is playing there I have been going to the movies for 45 years. This is, hands down, the worst movie I have ever seen. I mean, I hated this movie. Plan 9 From Outer Space and The Room were at least entertaining. This is like being locked in a cell with a stoned college student who can't shut up and thinks that every opinion they have, is the final word on a subject for 2 hours. Jennifer Lawrence should stick to roles that require her to paint herself blue or shoot arrows. Darren Aronofsky wants to be Luis Bu?uel but he's closer to Uwe Boll. He cites The Exterminating Angel as the inspiration for Mother! I agree, in the sense that I did feel like one of the dinner guests who can't leave in Bu?uel's classic during the course of watching Mother after paying 13 bucks to see this pretentious, heavy handed waste of time. Do yourself a favor, don't go see this movie, you won't get the 2 hours of your life back if you do. When it shows up on The Movie Channel playing at 3 in the morning in a couple of months, don't even set your DVR to record it. There are infomercials about gardening tools on at the same time, that are much more entertaining to watch that this.",1
"A little tedious to watch, but the concept is brilliant",8
